id,Project,SHA,Filename,Line Number,Specification,Filepath
1,apache.juneau,0e0c0a0a,Config.java,1833,Collections_SynchronizedCollection,org.apache.juneau.config.Config.java
2,apache.juneau,0e0c0a0a,ParserReader.java,402,Reader_ManipulateAfterClose,org.apache.juneau.parser.ParserReader.java
3,apache.juneau,0e0c0a0a,ASet.java,63,CharSequence_NotInSet,org.apache.juneau.utils.ASet.java
4,apache.juneau,0e0c0a0a,Swagger.java,730,TreeMap_Comparable,org.apache.juneau.dto.swagger.Swagger.java
5,apache.juneau,0e0c0a0a,IOUtils.java,582,Closeable_MeaninglessClose,org.apache.juneau.internal.IOUtils.java
6,apache.juneau,0e0c0a0a,OutputStreamSerializerSession.java,87,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.juneau.serializer.OutputStreamSerializerSession.java
7,apache.juneau,0e0c0a0a,IOUtils.java,478,Closeable_MeaninglessClose,org.apache.juneau.internal.IOUtils.java
8,apache.juneau,0e0c0a0a,IOUtils.java,523,Closeable_MeaninglessClose,org.apache.juneau.internal.IOUtils.java
9,apache.juneau,0e0c0a0a,IOUtils.java,493,Closeable_MeaninglessClose,org.apache.juneau.internal.IOUtils.java
10,apache.juneau,0e0c0a0a,IOUtils.java,560,Writer_ManipulateAfterClose,org.apache.juneau.internal.IOUtils.java
11,apache.juneau,0e0c0a0a,SerializerWriter.java,381,Writer_ManipulateAfterClose,org.apache.juneau.serializer.SerializerWriter.java
12,apache.juneau,0e0c0a0a,IOUtils.java,245,Closeable_MeaninglessClose,org.apache.juneau.internal.IOUtils.java
13,apache.juneau,0e0c0a0a,PropertyStoreBuilder.java,696,SortedSet_Comparable,org.apache.juneau.PropertyStoreBuilder.java
14,apache.juneau,0e0c0a0a,PropertyStoreBuilder.java,712,SortedSet_Comparable,org.apache.juneau.PropertyStoreBuilder.java
15,apache.juneau,0e0c0a0a,DelegateBeanMap.java,102,Collections_UnnecessaryNewSetFromMap,org.apache.juneau.internal.DelegateBeanMap.java
16,apache.juneau,0e0c0a0a,RestContext.java,5237,Collections_SynchronizedMap,org.apache.juneau.rest.RestContext.java
17,apache.juneau,0e0c0a0a,FinishableServletOutputStream.java,58,Closeable_MeaninglessClose,org.apache.juneau.rest.util.FinishableServletOutputStream.java
18,apache.juneau,0e0c0a0a,MockServletResponse.java,346,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.juneau.rest.mock2.MockServletResponse.java
19,apache.juneau,0e0c0a0a,RestResponse.java,683,Writer_ManipulateAfterClose,org.apache.juneau.rest.RestResponse.java
20,apache.juneau,0e0c0a0a,FinishableServletOutputStream.java,53,OutputStream_ManipulateAfterClose,org.apache.juneau.rest.util.FinishableServletOutputStream.java
21,apache.juneau,0e0c0a0a,BoundedServletInputStream.java,114,Closeable_MeaninglessClose,org.apache.juneau.rest.util.BoundedServletInputStream.java
22,apache.juneau,0e0c0a0a,PropertyStoreBuilder.java,704,SortedSet_Comparable,org.apache.juneau.PropertyStoreBuilder.java
23,apache.juneau,0e0c0a0a,ResponseEntityProxy.java,120,Closeable_MeaninglessClose,org.apache.http.impl.execchain.ResponseEntityProxy.java
24,apache.juneau,0e0c0a0a,ResponseEntityProxy.java,143,Closeable_MeaninglessClose,org.apache.http.impl.execchain.ResponseEntityProxy.java
25,apache.juneau,0e0c0a0a,RestRequestEntity.java,87,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.juneau.rest.client.RestRequestEntity.java
26,apache.juneau,0e0c0a0a,RestRequestEntity.java,88,Closeable_MeaninglessClose,org.apache.juneau.rest.client.RestRequestEntity.java
27,apache.juneau,0e0c0a0a,RestResponse.java,685,OutputStream_ManipulateAfterClose,org.apache.juneau.rest.RestResponse.java
28,apache.hive,333264b2,TestHiveDecimal.java,2720,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.hadoop.hive.common.type.TestHiveDecimal.java
29,apache.hive,333264b2,TestBloomFilter.java,557,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.hive.common.util.TestBloomFilter.java
30,apache.hive,333264b2,TestBloomFilter.java,561,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.hive.common.util.TestBloomFilter.java
31,apache.hive,333264b2,TestBloomFilter.java,565,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.hive.common.util.TestBloomFilter.java
32,apache.hive,333264b2,TestBloomKFilter.java,509,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.hive.common.util.TestBloomKFilter.java
33,apache.hive,333264b2,TestBloomKFilter.java,512,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.hive.common.util.TestBloomKFilter.java
34,apache.tika,86325105,MimeTypes.java,463,Collection_UnsynchronizedAddAll,org.apache.tika.mime.MimeTypes.java
35,apache.tika,86325105,TikaConfigSerializer.java,279,TreeSet_Comparable,org.apache.tika.config.TikaConfigSerializer.java
36,apache.tika,86325105,TikaConfigSerializer.java,279,SortedSet_Comparable,org.apache.tika.config.TikaConfigSerializer.java
37,apache.tika,86325105,TikaConfigSerializer.java,280,TreeSet_Comparable,org.apache.tika.config.TikaConfigSerializer.java
38,apache.tika,86325105,TikaConfigSerializer.java,280,SortedSet_Comparable,org.apache.tika.config.TikaConfigSerializer.java
39,apache.tika,86325105,AbstractMultipleParser.java,163,Collection_UnsynchronizedAddAll,org.apache.tika.parser.multiple.AbstractMultipleParser.java
40,apache.tika,86325105,ParamTest.java,57,Closeable_MeaninglessClose,org.apache.tika.config.ParamTest.java
41,apache.tika,86325105,ParamTest.java,58,Closeable_MeaninglessClose,org.apache.tika.config.ParamTest.java
42,apache.tika,86325105,ExceptionUtils.java,67,Closeable_MeaninglessClose,org.apache.tika.utils.ExceptionUtils.java
43,apache.tika,86325105,RereadableInputStream.java,209,Closeable_MeaninglessClose,org.apache.tika.utils.RereadableInputStream.java
44,apache.tika,86325105,TemporaryResources.java,145,Closeable_MeaninglessClose,org.apache.tika.io.TemporaryResources.java
45,apache.tika,86325105,TikaInputStream.java,678,Closeable_MeaninglessClose,org.apache.tika.io.TikaInputStream.java
46,apache.tika,86325105,JsonWriter.java,555,Closeable_MeaninglessClose,com.google.gson.stream.JsonWriter.java
47,apache.tika,86325105,JDKBugHacks.java,1,URLConnection_OverrideGetPermission,org.apache.cxf.common.logging.JDKBugHacks.java
48,apache.tika,86325105,IOUtils.java,403,Closeable_MeaninglessClose,org.apache.cxf.helpers.IOUtils.java
49,apache.tika,86325105,UAX29URLEmailTokenizerImpl.java,40810,Reader_ManipulateAfterClose,org.apache.lucene.analysis.standard.UAX29URLEmailTokenizerImpl.java
50,apache.tika,86325105,DocumentsWriterFlushControl.java,537,Collection_UnsynchronizedAddAll,org.apache.lucene.index.DocumentsWriterFlushControl.java
51,apache.tika,86325105,DocumentsWriterFlushControl.java,538,Collection_UnsynchronizedAddAll,org.apache.lucene.index.DocumentsWriterFlushControl.java
52,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,158,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
53,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,158,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
54,apache.santuario-java,3f4f5f40,NameSpaceSymbTable.java,86,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.NameSpaceSymbTable.java
55,apache.santuario-java,3f4f5f40,NameSpaceSymbTable.java,86,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.NameSpaceSymbTable.java
56,apache.santuario-java,3f4f5f40,XmlAttrStack.java,102,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.XmlAttrStack.java
57,apache.santuario-java,3f4f5f40,XmlAttrStack.java,102,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.XmlAttrStack.java
58,apache.santuario-java,3f4f5f40,DOMReference.java,530,OutputStream_ManipulateAfterClose,org.apache.jcp.xml.dsig.internal.dom.DOMReference.java
59,apache.santuario-java,3f4f5f40,DOMSignedInfo.java,221,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.jcp.xml.dsig.internal.dom.DOMSignedInfo.java
60,apache.santuario-java,3f4f5f40,DOMSignedInfo.java,223,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.jcp.xml.dsig.internal.dom.DOMSignedInfo.java
61,apache.santuario-java,3f4f5f40,DOMSignedInfo.java,237,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.jcp.xml.dsig.internal.dom.DOMSignedInfo.java
62,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,165,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
63,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,165,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
64,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,238,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
65,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,238,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
66,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,284,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
67,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,284,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
68,apache.santuario-java,3f4f5f40,CanonicalizerSpi.java,61,Closeable_MeaninglessClose,org.apache.xml.security.c14n.CanonicalizerSpi.java
69,apache.santuario-java,3f4f5f40,XmlAttrStack.java,171,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.XmlAttrStack.java
70,apache.santuario-java,3f4f5f40,XmlAttrStack.java,171,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.XmlAttrStack.java
71,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,250,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
72,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,250,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
73,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,326,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
74,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,326,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
75,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,251,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
76,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,251,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
77,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,283,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
78,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,283,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
79,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,273,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
80,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,273,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
81,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,222,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
82,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,222,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
83,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,190,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
84,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,190,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
85,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,170,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
86,apache.santuario-java,3f4f5f40,Canonicalizer20010315Excl.java,170,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315Excl.java
87,apache.santuario-java,3f4f5f40,CanonicalizerBase.java,356,Closeable_MeaninglessClose,org.apache.xml.security.c14n.implementations.CanonicalizerBase.java
88,apache.santuario-java,3f4f5f40,DOMRetrievalMethod.java,279,Closeable_MeaninglessClose,org.apache.jcp.xml.dsig.internal.dom.DOMRetrievalMethod.java
89,apache.santuario-java,3f4f5f40,XmlAttrStack.java,154,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.XmlAttrStack.java
90,apache.santuario-java,3f4f5f40,XmlAttrStack.java,154,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.XmlAttrStack.java
91,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,231,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
92,apache.santuario-java,3f4f5f40,Canonicalizer20010315.java,231,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.Canonicalizer20010315.java
93,apache.santuario-java,3f4f5f40,IVSplittingOutputStreamTest.java,62,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java
94,apache.santuario-java,3f4f5f40,IVSplittingOutputStreamTest.java,63,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java
95,apache.santuario-java,3f4f5f40,IVSplittingOutputStreamTest.java,141,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java
96,apache.santuario-java,3f4f5f40,IVSplittingOutputStreamTest.java,142,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java
97,apache.santuario-java,3f4f5f40,IVSplittingOutputStreamTest.java,170,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java
98,apache.santuario-java,3f4f5f40,IVSplittingOutputStreamTest.java,171,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java
99,apache.santuario-java,3f4f5f40,IVSplittingOutputStreamTest.java,85,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java
100,apache.santuario-java,3f4f5f40,IVSplittingOutputStreamTest.java,86,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java
101,apache.santuario-java,3f4f5f40,IVSplittingOutputStreamTest.java,114,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java
102,apache.santuario-java,3f4f5f40,IVSplittingOutputStreamTest.java,115,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java
103,apache.santuario-java,3f4f5f40,Reference.java,738,ByteArrayOutputStream_FlushBeforeRetrieve,org.apache.xml.security.signature.Reference.java
104,apache.santuario-java,3f4f5f40,CanonicalizerBase.java,211,Closeable_MeaninglessClose,org.apache.xml.security.c14n.implementations.CanonicalizerBase.java
105,apache.santuario-java,3f4f5f40,Santuario273Test.java,85,Closeable_MeaninglessClose,org.apache.xml.security.test.dom.c14n.implementations.Santuario273Test.java
106,apache.santuario-java,3f4f5f40,SignedInfo.java,220,Closeable_MeaninglessClose,org.apache.xml.security.signature.SignedInfo.java
107,apache.santuario-java,3f4f5f40,XMLX509Certificate.java,111,Closeable_MeaninglessClose,org.apache.xml.security.keys.content.x509.XMLX509Certificate.java
108,apache.santuario-java,3f4f5f40,Santuario191Test.java,69,Closeable_MeaninglessClose,org.apache.xml.security.test.dom.c14n.implementations.Santuario191Test.java
109,apache.santuario-java,3f4f5f40,TransformSerializer.java,55,Closeable_MeaninglessClose,org.apache.xml.security.encryption.TransformSerializer.java
110,apache.santuario-java,3f4f5f40,SignedEncryptedTest.java,106,Closeable_MeaninglessClose,org.apache.xml.security.test.dom.encryption.SignedEncryptedTest.java
111,apache.santuario-java,3f4f5f40,CanonicalizerPhysical.java,134,TreeSet_Comparable,org.apache.xml.security.c14n.implementations.CanonicalizerPhysical.java
112,apache.santuario-java,3f4f5f40,CanonicalizerPhysical.java,134,SortedSet_Comparable,org.apache.xml.security.c14n.implementations.CanonicalizerPhysical.java
113,apache.santuario-java,3f4f5f40,XMLCipherTest.java,983,Closeable_MeaninglessClose,org.apache.xml.security.test.dom.encryption.XMLCipherTest.java
114,apache.santuario-java,3f4f5f40,XMLCipherTest.java,835,Closeable_MeaninglessClose,org.apache.xml.security.test.dom.encryption.XMLCipherTest.java
115,apache.santuario-java,3f4f5f40,Xpath2TransformationTest.java,136,Closeable_MeaninglessClose,org.apache.xml.security.test.dom.transforms.implementations.Xpath2TransformationTest.java
116,apache.santuario-java,3f4f5f40,XMLSignatureInput.java,533,Closeable_MeaninglessClose,org.apache.xml.security.signature.XMLSignatureInput.java
117,apache.santuario-java,3f4f5f40,X509DataTest.java,83,Closeable_MeaninglessClose,org.apache.xml.security.test.dom.signature.X509DataTest.java
118,apache.pdfbox,4c6428d7,BaseParser.java,1361,Long_BadParsingArgs,org.apache.pdfbox.pdfparser.BaseParser.java
119,apache.pdfbox,4c6428d7,MemoryTTFDataStream.java,52,Closeable_MeaninglessClose,org.apache.fontbox.ttf.MemoryTTFDataStream.java
120,apache.pdfbox,4c6428d7,CharStringHandler.java,47,Collection_UnsynchronizedAddAll,org.apache.fontbox.cff.CharStringHandler.java
121,apache.pdfbox,4c6428d7,PDAbstractContentStream.java,1545,Closeable_MeaninglessClose,org.apache.pdfbox.pdmodel.PDAbstractContentStream.java
122,apache.pdfbox,4c6428d7,AppearanceGeneratorHelper.java,332,Closeable_MeaninglessClose,org.apache.pdfbox.pdmodel.interactive.form.AppearanceGeneratorHelper.java
123,apache.pdfbox,4c6428d7,AppearanceGeneratorHelper.java,390,Closeable_MeaninglessClose,org.apache.pdfbox.pdmodel.interactive.form.AppearanceGeneratorHelper.java
124,apache.pdfbox,4c6428d7,PDStream.java,137,Closeable_MeaninglessClose,org.apache.pdfbox.pdmodel.common.PDStream.java
125,apache.pdfbox,4c6428d7,PDFXRefStream.java,241,TreeSet_Comparable,org.apache.pdfbox.pdfparser.PDFXRefStream.java
126,apache.pdfbox,4c6428d7,PDFXRefStream.java,241,SortedSet_Comparable,org.apache.pdfbox.pdfparser.PDFXRefStream.java
127,apache.pdfbox,4c6428d7,PDAcroFormTest.java,383,Closeable_MeaninglessClose,org.apache.pdfbox.pdmodel.interactive.form.PDAcroFormTest.java
128,apache.pdfbox,4c6428d7,OpenTypeScript.java,305,TreeMap_Comparable,org.apache.fontbox.ttf.OpenTypeScript.java
129,apache.pdfbox,4c6428d7,TTFSubsetter.java,1134,TreeSet_Comparable,org.apache.fontbox.ttf.TTFSubsetter.java
130,apache.pdfbox,4c6428d7,TTFSubsetter.java,1134,SortedSet_Comparable,org.apache.fontbox.ttf.TTFSubsetter.java
131,apache.pdfbox,4c6428d7,TTFSubsetter.java,571,Closeable_MeaninglessClose,org.apache.fontbox.ttf.TTFSubsetter.java
132,apache.pdfbox,4c6428d7,TTFSubsetter.java,712,Closeable_MeaninglessClose,org.apache.fontbox.ttf.TTFSubsetter.java
133,apache.pdfbox,4c6428d7,TTFSubsetter.java,962,Closeable_MeaninglessClose,org.apache.fontbox.ttf.TTFSubsetter.java
134,apache.pdfbox,4c6428d7,TTFSubsetter.java,575,TreeSet_Comparable,org.apache.fontbox.ttf.TTFSubsetter.java
135,apache.pdfbox,4c6428d7,TTFSubsetter.java,575,SortedSet_Comparable,org.apache.fontbox.ttf.TTFSubsetter.java
136,apache.pdfbox,4c6428d7,SampledImageReader.java,128,Closeable_MeaninglessClose,org.apache.pdfbox.pdmodel.graphics.image.SampledImageReader.java
137,apache.pdfbox,4c6428d7,SampledImageReader.java,342,Closeable_MeaninglessClose,org.apache.pdfbox.pdmodel.graphics.image.SampledImageReader.java
138,apache.pdfbox,4c6428d7,IOUtils.java,118,Closeable_MeaninglessClose,org.apache.pdfbox.io.IOUtils.java
